feature,gain_total,gain_mean
emb_367,0.11692500114440918,0.011692500114440918
emb_153,0.11244070343673229,0.011244070343673229
emb_239,0.08537259697914124,0.008537259697914124
emb_68,0.06913260370492935,0.006913260370492935
emb_400,0.06584680080413818,0.006584680080413819
emb_53,0.051255640340968966,0.005125564034096896
emb_319,0.034258580300956964,0.0034258580300956963
emb_277,0.023507900536060333,0.0023507900536060334
emb_57,0.021702399477362633,0.002170239947736263
emb_541,0.019168300554156303,0.0019168300554156304
emb_477,0.018462300300598145,0.0018462300300598144
emb_569,0.015657899901270866,0.0015657899901270866
emb_372,0.010490999557077885,0.0010490999557077885
emb_559,0.00918522011488676,0.0009185220114886761
emb_263,0.00665020989254117,0.000665020989254117
emb_129,0.006003740127198398,0.0006003740127198398
emb_330,0.0038232901133596897,0.000382329011335969
emb_154,0.002689996035769582,0.0002689996035769582
mean_a,0.0015797700616531074,0.00015797700616531073
emb_210,0.001330740051344037,0.0001330740051344037
emb_334,0.00044074500328861177,4.407450032886118e-05
emb_209,0.00043835400720126927,4.3835400720126924e-05
emb_70,0.0004261680005583912,4.2616800055839124e-05
emb_87,0.00021247999393381178,2.1247999393381177e-05
emb_521,0.0,0.0
emb_85,0.0,0.0
emb_82,0.0,0.0
emb_90,0.0,0.0
emb_92,0.0,0.0
emb_94,0.0,0.0
emb_96,0.0,0.0
emb_522,0.0,0.0
emb_523,0.0,0.0
emb_511,0.0,0.0
emb_516,0.0,0.0
emb_97,0.0,0.0
emb_139,0.0,0.0
emb_138,0.0,0.0
emb_134,0.0,0.0
emb_498,0.0,0.0
emb_499,0.0,0.0
emb_356,0.0,0.0
emb_502,0.0,0.0
emb_124,0.0,0.0
emb_119,0.0,0.0
emb_118,0.0,0.0
emb_114,0.0,0.0
emb_507,0.0,0.0
emb_113,0.0,0.0
emb_111,0.0,0.0
emb_106,0.0,0.0
emb_357,0.0,0.0
emb_105,0.0,0.0
emb_100,0.0,0.0
emb_99,0.0,0.0
emb_81,0.0,0.0
emb_311,0.0,0.0
emb_374,0.0,0.0
emb_13,0.0,0.0
emb_556,0.0,0.0
emb_29,0.0,0.0
emb_558,0.0,0.0
emb_560,0.0,0.0
emb_20,0.0,0.0
emb_562,0.0,0.0
emb_16,0.0,0.0
emb_7,0.0,0.0
emb_33,0.0,0.0
emb_5,0.0,0.0
emb_4,0.0,0.0
emb_568,0.0,0.0
emb_370,0.0,0.0
emb_360,0.0,0.0
std_L,0.0,0.0
emb_574,0.0,0.0
emb_31,0.0,0.0
emb_553,0.0,0.0
emb_531,0.0,0.0
emb_50,0.0,0.0
emb_66,0.0,0.0
emb_65,0.0,0.0
emb_60,0.0,0.0
emb_352,0.0,0.0
emb_537,0.0,0.0
emb_55,0.0,0.0
emb_358,0.0,0.0
emb_543,0.0,0.0
emb_35,0.0,0.0
emb_48,0.0,0.0
emb_545,0.0,0.0
emb_42,0.0,0.0
emb_371,0.0,0.0
emb_38,0.0,0.0
emb_550,0.0,0.0
emb_37,0.0,0.0
emb_377,0.0,0.0
emb_150,0.0,0.0
emb_342,0.0,0.0
emb_279,0.0,0.0
emb_275,0.0,0.0
emb_273,0.0,0.0
emb_426,0.0,0.0
emb_322,0.0,0.0
emb_428,0.0,0.0
emb_269,0.0,0.0
emb_267,0.0,0.0
emb_266,0.0,0.0
emb_254,0.0,0.0
emb_253,0.0,0.0
emb_436,0.0,0.0
emb_437,0.0,0.0
emb_333,0.0,0.0
emb_439,0.0,0.0
emb_247,0.0,0.0
emb_389,0.0,0.0
emb_336,0.0,0.0
emb_422,0.0,0.0
emb_282,0.0,0.0
emb_491,0.0,0.0
emb_418,0.0,0.0
emb_310,0.0,0.0
emb_303,0.0,0.0
emb_302,0.0,0.0
emb_404,0.0,0.0
emb_405,0.0,0.0
emb_406,0.0,0.0
emb_301,0.0,0.0
emb_296,0.0,0.0
emb_295,0.0,0.0
emb_410,0.0,0.0
emb_294,0.0,0.0
emb_313,0.0,0.0
emb_314,0.0,0.0
emb_291,0.0,0.0
emb_415,0.0,0.0
emb_318,0.0,0.0
mean_L,0.0,0.0
emb_240,0.0,0.0
emb_237,0.0,0.0
emb_386,0.0,0.0
emb_448,0.0,0.0
emb_382,0.0,0.0
emb_184,0.0,0.0
emb_179,0.0,0.0
emb_338,0.0,0.0
emb_173,0.0,0.0
emb_171,0.0,0.0
emb_165,0.0,0.0
emb_479,0.0,0.0
emb_161,0.0,0.0
emb_481,0.0,0.0
emb_158,0.0,0.0
emb_157,0.0,0.0
emb_151,0.0,0.0
emb_399,0.0,0.0
emb_488,0.0,0.0
emb_489,0.0,0.0
emb_340,0.0,0.0
emb_470,0.0,0.0
emb_383,0.0,0.0
emb_188,0.0,0.0
emb_213,0.0,0.0
emb_226,0.0,0.0
emb_224,0.0,0.0
emb_220,0.0,0.0
emb_219,0.0,0.0
emb_218,0.0,0.0
